Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-07,2010,7,101.1119
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-08,2010,8,101.2639
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-09,2010,9,101.3594
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-10,2010,10,101.4029
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-11,2010,11,101.3865
IND,BCI,AMPLITUD,LTRENDIDX,M,2010-12,2010,12,101.2936
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-01,2011,1,101.1633
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-02,2011,2,101.0341
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-03,2011,3,100.9249
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-04,2011,4,100.8156
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-05,2011,5,100.6708
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-06,2011,6,100.464
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-07,2011,7,100.237
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-08,2011,8,100.0516
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-09,2011,9,99.96016
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-10,2011,10,99.93613
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-11,2011,11,99.95155
IND,BCI,AMPLITUD,LTRENDIDX,M,2011-12,2011,12,99.98817
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-01,2012,1,100.0086
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-02,2012,2,99.96227
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-03,2012,3,99.80786
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-04,2012,4,99.60191
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-05,2012,5,99.41623
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-06,2012,6,99.30654
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-07,2012,7,99.261
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-08,2012,8,99.26775
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-09,2012,9,99.31837
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-10,2012,10,99.35894
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-11,2012,11,99.31487
IND,BCI,AMPLITUD,LTRENDIDX,M,2012-12,2012,12,99.12565
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-01,2013,1,98.86431
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-02,2013,2,98.62294
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-03,2013,3,98.47029
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-04,2013,4,98.38946
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-05,2013,5,98.36623
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-06,2013,6,98.40565
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-07,2013,7,98.49088
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-08,2013,8,98.61928
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-09,2013,9,98.79243
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-10,2013,10,98.96321
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-11,2013,11,99.06651
IND,BCI,AMPLITUD,LTRENDIDX,M,2013-12,2013,12,99.05245
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-01,2014,1,98.98705
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-02,2014,2,98.95538
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-03,2014,3,99.0162
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-04,2014,4,99.12273
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-05,2014,5,99.20815
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-06,2014,6,99.22539
IND,BCI,AMPLITUD,LTRENDIDX,M,2014-07,2014,7,99.20805
