Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-02,2016,2,99.7868
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-03,2016,3,99.73688
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-04,2016,4,99.68189
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-05,2016,5,99.61791
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-06,2016,6,99.54352
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-07,2016,7,99.45808
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-08,2016,8,99.36304
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-09,2016,9,99.26246
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-10,2016,10,99.16283
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-11,2016,11,99.07349
IND,CLI,AMPLITUD,LTRENDIDX,M,2016-12,2016,12,99.00628
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-01,2017,1,98.96983
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-02,2017,2,98.9683
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-03,2017,3,99.0016
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-04,2017,4,99.06678
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-05,2017,5,99.16096
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-06,2017,6,99.28088
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-07,2017,7,99.42278
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-08,2017,8,99.58138
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-09,2017,9,99.75131
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-10,2017,10,99.92765
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-11,2017,11,100.1052
IND,CLI,AMPLITUD,LTRENDIDX,M,2017-12,2017,12,100.2776
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-01,2018,1,100.4395
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-02,2018,2,100.5855
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-03,2018,3,100.7115
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-04,2018,4,100.8138
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-05,2018,5,100.8893
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-06,2018,6,100.9362
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-07,2018,7,100.9541
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-08,2018,8,100.9436
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-09,2018,9,100.9061
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-10,2018,10,100.844
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-11,2018,11,100.7601
IND,CLI,AMPLITUD,LTRENDIDX,M,2018-12,2018,12,100.657
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-01,2019,1,100.5371
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-02,2019,2,100.4023
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-03,2019,3,100.255
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-04,2019,4,100.0973
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-05,2019,5,99.92998
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-06,2019,6,99.75492
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-07,2019,7,99.57487
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-08,2019,8,99.39245
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-09,2019,9,99.2103
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-10,2019,10,99.02952
IND,CLI,AMPLITUD,LTRENDIDX,M,2019-11,2019,11,98.84957
