Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,CPI,TOT,AGRWTH,M,2011-01,2011,1,9.302325
IND,CPI,TOT,AGRWTH,M,2011-02,2011,2,8.823529
IND,CPI,TOT,AGRWTH,M,2011-03,2011,3,8.823529
IND,CPI,TOT,AGRWTH,M,2011-04,2011,4,9.411765
IND,CPI,TOT,AGRWTH,M,2011-05,2011,5,8.72093
IND,CPI,TOT,AGRWTH,M,2011-06,2011,6,8.620689
IND,CPI,TOT,AGRWTH,M,2011-07,2011,7,8.426967
IND,CPI,TOT,AGRWTH,M,2011-08,2011,8,8.988764
IND,CPI,TOT,AGRWTH,M,2011-09,2011,9,10.05587
IND,CPI,TOT,AGRWTH,M,2011-10,2011,10,9.392265
IND,CPI,TOT,AGRWTH,M,2011-11,2011,11,9.340659
IND,CPI,TOT,AGRWTH,M,2011-12,2011,12,6.486486
IND,CPI,TOT,AGRWTH,M,2012-01,2012,1,5.319149
IND,CPI,TOT,AGRWTH,M,2012-02,2012,2,7.567567
IND,CPI,TOT,AGRWTH,M,2012-03,2012,3,8.648648
IND,CPI,TOT,AGRWTH,M,2012-04,2012,4,10.21505
IND,CPI,TOT,AGRWTH,M,2012-05,2012,5,10.16043
IND,CPI,TOT,AGRWTH,M,2012-06,2012,6,10.05291
IND,CPI,TOT,AGRWTH,M,2012-07,2012,7,9.84456
IND,CPI,TOT,AGRWTH,M,2012-08,2012,8,10.30928
IND,CPI,TOT,AGRWTH,M,2012-09,2012,9,9.137055
IND,CPI,TOT,AGRWTH,M,2012-10,2012,10,9.59596
IND,CPI,TOT,AGRWTH,M,2012-11,2012,11,9.547739
IND,CPI,TOT,AGRWTH,M,2012-12,2012,12,11.16751
IND,CPI,TOT,AGRWTH,M,2013-01,2013,1,11.61616
IND,CPI,TOT,AGRWTH,M,2013-02,2013,2,12.0603
IND,CPI,TOT,AGRWTH,M,2013-03,2013,3,11.44279
IND,CPI,TOT,AGRWTH,M,2013-04,2013,4,10.2439
IND,CPI,TOT,AGRWTH,M,2013-05,2013,5,10.67961
IND,CPI,TOT,AGRWTH,M,2013-06,2013,6,11.05769
IND,CPI,TOT,AGRWTH,M,2013-07,2013,7,10.84906
IND,CPI,TOT,AGRWTH,M,2013-08,2013,8,10.74766
IND,CPI,TOT,AGRWTH,M,2013-09,2013,9,10.69767
IND,CPI,TOT,AGRWTH,M,2013-10,2013,10,11.05991
IND,CPI,TOT,AGRWTH,M,2013-11,2013,11,11.46789
IND,CPI,TOT,AGRWTH,M,2013-12,2013,12,9.132421
