application_date,segment,case_count,application_year,application_month,application_dow,application_qtr,application_daytype,application_season,dist_holi,dist_muharram,dist_dussehra,dist_diwali,dist_christmas,case_count,WPI,WPI-3m,WPI-6m
4/1/2017,1,299,2017,4,5,QTR2,weekday,summer,335,183,182,201,268,299,,,
4/1/2017,2,897,2017,4,5,QTR2,weekday,summer,335,183,182,201,268,897,,,
4/2/2017,2,605,2017,4,6,QTR2,weekend,summer,334,182,181,200,267,605,,,
4/3/2017,1,42,2017,4,0,QTR2,weekday,summer,333,181,180,199,266,42,,,
4/3/2017,2,2016,2017,4,0,QTR2,weekday,summer,333,181,180,199,266,2016,,,
4/4/2017,1,23,2017,4,1,QTR2,weekday,summer,332,180,179,198,265,23,,,
4/4/2017,2,2245,2017,4,1,QTR2,weekday,summer,332,180,179,198,265,2245,,,
4/5/2017,1,1530,2017,4,2,QTR2,weekday,summer,331,179,178,197,264,1530,,,
4/5/2017,2,2415,2017,4,2,QTR2,weekday,summer,331,179,178,197,264,2415,,,
4/6/2017,2,2379,2017,4,3,QTR2,weekday,summer,330,178,177,196,263,2379,,,
4/7/2017,1,1341,2017,4,4,QTR2,weekday,summer,329,177,176,195,262,1341,,,
4/7/2017,2,2249,2017,4,4,QTR2,weekday,summer,329,177,176,195,262,2249,,,
4/8/2017,2,2297,2017,4,5,QTR2,weekday,summer,328,176,175,194,261,2297,,,
4/9/2017,2,1435,2017,4,6,QTR2,weekend,summer,327,175,174,193,260,1435,,,
4/10/2017,2,3166,2017,4,0,QTR2,weekday,summer,326,174,173,192,259,3166,,,
4/11/2017,2,5649,2017,4,1,QTR2,weekday,summer,325,173,172,191,258,5649,,,
4/12/2017,1,1468,2017,4,2,QTR2,weekday,summer,324,172,171,190,257,1468,,,
4/12/2017,2,8781,2017,4,2,QTR2,weekday,summer,324,172,171,190,257,8781,,,
4/13/2017,1,1340,2017,4,3,QTR2,weekday,summer,323,171,170,189,256,1340,,,
4/13/2017,2,10351,2017,4,3,QTR2,weekday,summer,323,171,170,189,256,10351,,,
4/14/2017,1,1330,2017,4,4,QTR2,weekday,summer,322,170,169,188,255,1330,,,
4/14/2017,2,8289,2017,4,4,QTR2,weekday,summer,322,170,169,188,255,8289,,,
4/15/2017,1,981,2017,4,5,QTR2,weekday,summer,321,169,168,187,254,981,,,
4/15/2017,2,8799,2017,4,5,QTR2,weekday,summer,321,169,168,187,254,8799,,,
4/16/2017,1,409,2017,4,6,QTR2,weekend,summer,320,168,167,186,253,409,,,
4/16/2017,2,6745,2017,4,6,QTR2,weekend,summer,320,168,167,186,253,6745,,,
4/17/2017,1,1515,2017,4,0,QTR2,weekday,summer,319,167,166,185,252,1515,,,
4/17/2017,2,9597,2017,4,0,QTR2,weekday,summer,319,167,166,185,252,9597,,,
4/18/2017,1,1442,2017,4,1,QTR2,weekday,summer,318,166,165,184,251,1442,,,
4/18/2017,2,11351,2017,4,1,QTR2,weekday,summer,318,166,165,184,251,11351,,,
4/19/2017,1,1404,2017,4,2,QTR2,weekday,summer,317,165,164,183,250,1404,,,
4/19/2017,2,12310,2017,4,2,QTR2,weekday,summer,317,165,164,183,250,12310,,,
4/20/2017,1,1350,2017,4,3,QTR2,weekday,summer,316,164,163,182,249,1350,,,
4/20/2017,2,12384,2017,4,3,QTR2,weekday,summer,316,164,163,182,249,12384,,,
4/21/2017,1,1390,2017,4,4,QTR2,weekday,summer,315,163,162,181,248,1390,,,
4/21/2017,2,10857,2017,4,4,QTR2,weekday,summer,315,163,162,181,248,10857,,,
4/22/2017,1,1060,2017,4,5,QTR2,weekday,summer,314,162,161,180,247,1060,,,
4/22/2017,2,8881,2017,4,5,QTR2,weekday,summer,314,162,161,180,247,8881,,,
4/23/2017,1,380,2017,4,6,QTR2,weekend,summer,313,161,160,179,246,380,,,
4/23/2017,2,6172,2017,4,6,QTR2,weekend,summer,313,161,160,179,246,6172,,,
4/24/2017,1,1626,2017,4,0,QTR2,weekday,summer,312,160,159,178,245,1626,,,
4/24/2017,2,5931,2017,4,0,QTR2,weekday,summer,312,160,159,178,245,5931,,,
4/25/2017,1,1450,2017,4,1,QTR2,weekday,summer,311,159,158,177,244,1450,,,
4/25/2017,2,4422,2017,4,1,QTR2,weekday,summer,311,159,158,177,244,4422,,,
4/26/2017,1,1546,2017,4,2,QTR2,weekday,summer,310,158,157,176,243,1546,,,
4/26/2017,2,2384,2017,4,2,QTR2,weekday,summer,310,158,157,176,243,2384,,,
4/27/2017,1,1710,2017,4,3,QTR2,weekday,summer,309,157,156,175,242,1710,,,
4/27/2017,2,1102,2017,4,3,QTR2,weekday,summer,309,157,156,175,242,1102,,,
4/28/2017,1,1927,2017,4,4,QTR2,weekday,summer,308,156,155,174,241,1927,,,
4/28/2017,2,810,2017,4,4,QTR2,weekday,summer,308,156,155,174,241,810,,,
4/29/2017,1,1355,2017,4,5,QTR2,weekday,summer,307,155,154,173,240,1355,,,
4/29/2017,2,854,2017,4,5,QTR2,weekday,summer,307,155,154,173,240,854,,,
4/30/2017,1,6472,2017,4,6,QTR2,weekend,summer,306,154,153,172,239,6472,,,
4/30/2017,2,881,2017,4,6,QTR2,weekend,summer,306,154,153,172,239,881,,,
5/1/2017,1,1472,2017,5,0,QTR2,weekday,summer,305,153,152,171,238,1472,,,
5/1/2017,2,1354,2017,5,0,QTR2,weekday,summer,305,153,152,171,238,1354,,,
5/2/2017,1,198,2017,5,1,QTR2,weekday,summer,304,152,151,170,237,198,,,
5/2/2017,2,1929,2017,5,1,QTR2,weekday,summer,304,152,151,170,237,1929,,,
5/3/2017,1,76,2017,5,2,QTR2,weekday,summer,303,151,150,169,236,76,,,
5/3/2017,2,1925,2017,5,2,QTR2,weekday,summer,303,151,150,169,236,1925,,,
5/4/2017,1,165,2017,5,3,QTR2,weekday,summer,302,150,149,168,235,165,,,
5/4/2017,2,2993,2017,5,3,QTR2,weekday,summer,302,150,149,168,235,2993,,,
5/5/2017,1,2457,2017,5,4,QTR2,weekday,summer,301,149,148,167,234,2457,,,
5/5/2017,2,2724,2017,5,4,QTR2,weekday,summer,301,149,148,167,234,2724,,,
5/6/2017,2,2441,2017,5,5,QTR2,weekday,summer,300,148,147,166,233,2441,,,
5/7/2017,1,426,2017,5,6,QTR2,weekend,summer,299,147,146,165,232,426,,,
5/7/2017,2,1652,2017,5,6,QTR2,weekend,summer,299,147,146,165,232,1652,,,
5/8/2017,1,4,2017,5,0,QTR2,weekday,summer,298,146,145,164,231,4,,,
5/8/2017,2,2118,2017,5,0,QTR2,weekday,summer,298,146,145,164,231,2118,,,
5/9/2017,1,51,2017,5,1,QTR2,weekday,summer,297,145,144,163,230,51,,,
5/9/2017,2,2964,2017,5,1,QTR2,weekday,summer,297,145,144,163,230,2964,,,
5/10/2017,1,1582,2017,5,2,QTR2,weekday,summer,296,144,143,162,229,1582,,,
5/10/2017,2,3030,2017,5,2,QTR2,weekday,summer,296,144,143,162,229,3030,,,
5/11/2017,1,1423,2017,5,3,QTR2,weekday,summer,295,143,142,161,228,1423,,,
5/11/2017,2,6776,2017,5,3,QTR2,weekday,summer,295,143,142,161,228,6776,,,
5/12/2017,1,1533,2017,5,4,QTR2,weekday,summer,294,142,141,160,227,1533,,,
5/12/2017,2,8364,2017,5,4,QTR2,weekday,summer,294,142,141,160,227,8364,,,
5/13/2017,1,1125,2017,5,5,QTR2,weekday,summer,293,141,140,159,226,1125,,,
