Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,LTINT,TOT,PC_PA,M,2011-12,2011,12,8.56
IND,LTINT,TOT,PC_PA,M,2012-01,2012,1,8.235
IND,LTINT,TOT,PC_PA,M,2012-02,2012,2,8.1925
IND,LTINT,TOT,PC_PA,M,2012-03,2012,3,8.374
IND,LTINT,TOT,PC_PA,M,2012-04,2012,4,8.5875
IND,LTINT,TOT,PC_PA,M,2012-05,2012,5,8.565
IND,LTINT,TOT,PC_PA,M,2012-06,2012,6,8.204
IND,LTINT,TOT,PC_PA,M,2012-07,2012,7,8.096666
IND,LTINT,TOT,PC_PA,M,2012-08,2012,8,8.196
IND,LTINT,TOT,PC_PA,M,2012-09,2012,9,8.175
IND,LTINT,TOT,PC_PA,M,2012-10,2012,10,8.1475
IND,LTINT,TOT,PC_PA,M,2012-11,2012,11,8.204
IND,LTINT,TOT,PC_PA,M,2012-12,2012,12,8.1375
IND,LTINT,TOT,PC_PA,M,2013-01,2013,1,7.8725
IND,LTINT,TOT,PC_PA,M,2013-02,2013,2,7.8375
IND,LTINT,TOT,PC_PA,M,2013-03,2013,3,7.91
IND,LTINT,TOT,PC_PA,M,2013-04,2013,4,7.83
IND,LTINT,TOT,PC_PA,M,2013-05,2013,5,7.502
IND,LTINT,TOT,PC_PA,M,2013-06,2013,6,7.4025
IND,LTINT,TOT,PC_PA,M,2013-07,2013,7,7.725
IND,LTINT,TOT,PC_PA,M,2013-08,2013,8,8.328
IND,LTINT,TOT,PC_PA,M,2013-09,2013,9,8.6025
IND,LTINT,TOT,PC_PA,M,2013-10,2013,10,8.5725
IND,LTINT,TOT,PC_PA,M,2013-11,2013,11,8.862
IND,LTINT,TOT,PC_PA,M,2013-12,2013,12,8.875
IND,LTINT,TOT,PC_PA,M,2014-01,2014,1,8.764
IND,LTINT,TOT,PC_PA,M,2014-02,2014,2,8.8125
IND,LTINT,TOT,PC_PA,M,2014-03,2014,3,8.8375
IND,LTINT,TOT,PC_PA,M,2014-04,2014,4,8.9875
IND,LTINT,TOT,PC_PA,M,2014-05,2014,5,8.752
IND,LTINT,TOT,PC_PA,M,2014-06,2014,6,8.6325
IND,LTINT,TOT,PC_PA,M,2014-07,2014,7,8.655
IND,LTINT,TOT,PC_PA,M,2014-08,2014,8,8.56
IND,LTINT,TOT,PC_PA,M,2014-09,2014,9,8.4925
IND,LTINT,TOT,PC_PA,M,2014-10,2014,10,8.402
IND,LTINT,TOT,PC_PA,M,2014-11,2014,11,8.185
IND,LTINT,TOT,PC_PA,M,2014-12,2014,12,7.955
IND,LTINT,TOT,PC_PA,M,2015-01,2015,1,7.794
IND,LTINT,TOT,PC_PA,M,2015-02,2015,2,7.7325
IND,LTINT,TOT,PC_PA,M,2015-03,2015,3,7.8225
IND,LTINT,TOT,PC_PA,M,2015-04,2015,4,7.836667
IND,LTINT,TOT,PC_PA,M,2015-05,2015,5,7.852
IND,LTINT,TOT,PC_PA,M,2015-06,2015,6,7.8075
IND,LTINT,TOT,PC_PA,M,2015-07,2015,7,7.816
IND,LTINT,TOT,PC_PA,M,2015-08,2015,8,7.785
IND,LTINT,TOT,PC_PA,M,2015-09,2015,9,7.7325
IND,LTINT,TOT,PC_PA,M,2015-10,2015,10,7.598
IND,LTINT,TOT,PC_PA,M,2015-11,2015,11,7.745
IND,LTINT,TOT,PC_PA,M,2015-12,2015,12,7.7925
IND,LTINT,TOT,PC_PA,M,2016-01,2016,1,7.668
IND,LTINT,TOT,PC_PA,M,2016-02,2016,2,7.72
IND,LTINT,TOT,PC_PA,M,2016-03,2016,3,7.585
IND,LTINT,TOT,PC_PA,M,2016-04,2016,4,7.436
IND,LTINT,TOT,PC_PA,M,2016-05,2016,5,7.28
IND,LTINT,TOT,PC_PA,M,2016-06,2016,6,7.5025
IND,LTINT,TOT,PC_PA,M,2016-07,2016,7,7.352
IND,LTINT,TOT,PC_PA,M,2016-08,2016,8,7.1425
IND,LTINT,TOT,PC_PA,M,2016-09,2016,9,6.864
IND,LTINT,TOT,PC_PA,M,2016-10,2016,10,6.7825
IND,LTINT,TOT,PC_PA,M,2016-11,2016,11,6.6125
IND,LTINT,TOT,PC_PA,M,2016-12,2016,12,6.526
IND,LTINT,TOT,PC_PA,M,2017-01,2017,1,6.7925
IND,LTINT,TOT,PC_PA,M,2017-02,2017,2,6.98
IND,LTINT,TOT,PC_PA,M,2017-03,2017,3,7.118
IND,LTINT,TOT,PC_PA,M,2017-04,2017,4,7.165
IND,LTINT,TOT,PC_PA,M,2017-05,2017,5,7.115
IND,LTINT,TOT,PC_PA,M,2017-06,2017,6,6.584
IND,LTINT,TOT,PC_PA,M,2017-07,2017,7,6.55
IND,LTINT,TOT,PC_PA,M,2017-08,2017,8,6.6
IND,LTINT,TOT,PC_PA,M,2017-09,2017,9,6.724
IND,LTINT,TOT,PC_PA,M,2017-10,2017,10,6.945
IND,LTINT,TOT,PC_PA,M,2017-11,2017,11,7.1675
IND,LTINT,TOT,PC_PA,M,2017-12,2017,12,7.35
IND,LTINT,TOT,PC_PA,M,2018-01,2018,1,7.2175
IND,LTINT,TOT,PC_PA,M,2018-02,2018,2,7.57
IND,LTINT,TOT,PC_PA,M,2018-03,2018,3,7.608
IND,LTINT,TOT,PC_PA,M,2018-04,2018,4,7.5475
IND,LTINT,TOT,PC_PA,M,2018-05,2018,5,7.8475
IND,LTINT,TOT,PC_PA,M,2018-06,2018,6,7.936
IND,LTINT,TOT,PC_PA,M,2018-07,2018,7,7.8
IND,LTINT,TOT,PC_PA,M,2018-08,2018,8,7.826
IND,LTINT,TOT,PC_PA,M,2018-09,2018,9,8.02
IND,LTINT,TOT,PC_PA,M,2018-10,2018,10,7.925
IND,LTINT,TOT,PC_PA,M,2018-11,2018,11,7.782
IND,LTINT,TOT,PC_PA,M,2018-12,2018,12,7.3725
IND,LTINT,TOT,PC_PA,M,2019-01,2019,1,7.3475
IND,LTINT,TOT,PC_PA,M,2019-02,2019,2,7.43
IND,LTINT,TOT,PC_PA,M,2019-03,2019,3,7.346
IND,LTINT,TOT,PC_PA,M,2019-04,2019,4,7.4225
IND,LTINT,TOT,PC_PA,M,2019-05,2019,5,7.33
IND,LTINT,TOT,PC_PA,M,2019-06,2019,6,6.97
IND,LTINT,TOT,PC_PA,M,2019-07,2019,7,6.6
IND,LTINT,TOT,PC_PA,M,2019-08,2019,8,6.62
IND,LTINT,TOT,PC_PA,M,2019-09,2019,9,6.82
IND,LTINT,TOT,PC_PA,M,2019-10,2019,10,6.54
IND,LTINT,TOT,PC_PA,M,2019-11,2019,11,6.64
