Location,Indicator,Subject,Measure,Frequency,Time,Year,Month,Value
IND,SHPRICE,TOT,IDX2015,M,2011-01,2011,1,70.45145
IND,SHPRICE,TOT,IDX2015,M,2011-02,2011,2,65.93076
IND,SHPRICE,TOT,IDX2015,M,2011-03,2011,3,67.46523
IND,SHPRICE,TOT,IDX2015,M,2011-04,2011,4,71.1345
IND,SHPRICE,TOT,IDX2015,M,2011-05,2011,5,66.98655
IND,SHPRICE,TOT,IDX2015,M,2011-06,2011,6,66.63374
IND,SHPRICE,TOT,IDX2015,M,2011-07,2011,7,68.05013
IND,SHPRICE,TOT,IDX2015,M,2011-08,2011,8,61.68928
IND,SHPRICE,TOT,IDX2015,M,2011-09,2011,9,61.02279
IND,SHPRICE,TOT,IDX2015,M,2011-10,2011,10,61.39568
IND,SHPRICE,TOT,IDX2015,M,2011-11,2011,11,61.18019
IND,SHPRICE,TOT,IDX2015,M,2011-12,2011,12,58.48026
IND,SHPRICE,TOT,IDX2015,M,2012-01,2012,1,59.99728
IND,SHPRICE,TOT,IDX2015,M,2012-02,2012,2,65.27747
IND,SHPRICE,TOT,IDX2015,M,2012-03,2012,3,63.58006
IND,SHPRICE,TOT,IDX2015,M,2012-04,2012,4,63.26318
IND,SHPRICE,TOT,IDX2015,M,2012-05,2012,5,60.08113
IND,SHPRICE,TOT,IDX2015,M,2012-06,2012,6,61.18067
IND,SHPRICE,TOT,IDX2015,M,2012-07,2012,7,62.90985
IND,SHPRICE,TOT,IDX2015,M,2012-08,2012,8,64.31582
IND,SHPRICE,TOT,IDX2015,M,2012-09,2012,9,66.39134
IND,SHPRICE,TOT,IDX2015,M,2012-10,2012,10,68.44677
IND,SHPRICE,TOT,IDX2015,M,2012-11,2012,11,68.2731
IND,SHPRICE,TOT,IDX2015,M,2012-12,2012,12,70.76801
IND,SHPRICE,TOT,IDX2015,M,2013-01,2013,1,72.64948
IND,SHPRICE,TOT,IDX2015,M,2013-02,2013,2,71.1474
IND,SHPRICE,TOT,IDX2015,M,2013-03,2013,3,69.85902
